R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
217,142,4,62,76,7,119,65,65,215,194,130,35,29,35
77,93,140,138,26,0,26,38,32,115,55,2,202,142,0
166,3,33,242,75,106,242,218,189,64,24,1,140,3,3
217,85,109,172,140,112,209,113,105,105,72,51,166,15,83
169,191,4,124,140,3,79,89,2,37,38,1,242,205,172
209,205,199,188,172,148,221,211,185,215,203,187,79,70,64
160,122,98,105,80,68,89,35,22,191,152,143,92,41,29
199,174,135,89,83,2,110,68,36,238,166,154,64,18,1
89,2,9,191,4,38,140,3,28,217,59,88,243,190,194
208,181,147,136,140,3,112,65,26,123,41,38,65,25,18
242,116,5,217,43,4,140,3,3,89,2,2,242,68,68
131,166,3,123,54,2,150,31,0,217,46,60,106,36,31
206,181,182,106,6,0,218,58,0,217,84,72,174,19,0
150,145,131,171,165,156,217,214,208,194,191,183,145,133,117
124,112,96,175,148,114,134,119,90,68,56,53,186,166,117
217,181,137,217,208,197,196,168,106,181,141,70,227,197,144
217,185,126,89,50,2,140,99,48,191,177,159,64,24,1
84,119,140,189,227,242,115,107,2,89,67,40,38,1,1
166,3,47,242,5,166,102,115,2,160,166,3,217,194,167
91,146,217,187,216,242,20,38,1,62,89,2,110,140,3
92,93,12,191,107,4,242,203,155,140,104,73,121,54,18
118,139,166,157,191,105,242,226,5,242,159,5,132,104,115
242,183,5,242,159,5,217,121,4,166,63,3,89,34,2
224,215,180,140,119,79,217,186,130,167,143,96,145,136,132
242,253,201,191,144,4,179,141,90,191,174,122,115,75,2